[2026-04-13T03:28:58.376Z] GET https://keygene.top/maps.html → pending (?ms, ?B)
[2026-04-13T03:28:59.404Z] GET https://keygene.top/maps → pending (?ms, ?B)
[2026-04-13T03:28:59.781Z] GET https://keygene.top/cdn-cgi/speculation → 200 (250ms, 128B)
[2026-04-13T03:28:59.781Z] GET https://fonts.googleapis.com/css2?family=Rubik:wght@400;500;600;700;800;900&display=swap → pending (?ms, ?B)
[2026-04-13T03:28:59.782Z] GET https://unpkg.com/leaflet@1.9.4/dist/leaflet.css → pending (?ms, ?B)
[2026-04-13T03:28:59.782Z] GET https://keygene.top/assert/css/shared.css → 200 (523ms, 7753B)
[2026-04-13T03:28:59.787Z] GET https://keygene.top/assert/images/helmet-red.png → 200 (298ms, ?B)
[2026-04-13T03:28:59.787Z] GET https://keygene.top/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js → 200 (248ms, 1239B)
[2026-04-13T03:28:59.787Z] GET https://unpkg.com/leaflet@1.9.4/dist/leaflet.js → pending (?ms, ?B)
[2026-04-13T03:28:59.787Z] GET https://keygene.top/assert/js/shared.js → 200 (614ms, 4523B)
[2026-04-13T03:28:59.787Z] GET https://static.cloudflareinsights.com/beacon.min.js/v8c78df7c7c0f484497ecbca7046644da1771523124516 → pending (?ms, ?B)
[2026-04-13T03:29:00.553Z] GET https://fonts.gstatic.com/s/rubik/v31/iJWKBXyIfDnIV7nBrXw.woff2 → 200 (771ms, 35348B)
[2026-04-13T03:29:01.329Z] POST https://keygene.top/cdn-cgi/rum? → pending (?ms, ?B)
